claim_id,family,population,source,contrast,metric,estimate,ci95_lower,ci95_upper,n,notes
C5,natural_evaluation,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,namespace_dense_minus_global_dense,recall_delta,0.14882826330375917,0.1294599812574066,0.16837205167326316,3767,source_macro;trusted_released_namespace
C5,natural_evaluation,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,released_intent_lifecycle_upper_bound,evidence_recall,0.8685655633342699,,,3767,source_macro;descriptive_full_arm_table;not_official_benchmark_submission;released_field_upper_bound
C5,natural_evaluation,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,released_intent_lifecycle_upper_bound,feasible_rate,0.7630996362161767,,,3767,source_macro;descriptive_full_arm_table;not_official_benchmark_submission;released_field_upper_bound
C5,natural_evaluation,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,released_intent_lifecycle_upper_bound,mean_candidates_scored,1525.3117518914164,,,3767,source_macro;descriptive_full_arm_table;not_official_benchmark_submission;released_field_upper_bound;diagnostic_only;not_production_latency
C5,natural_evaluation,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,released_intent_lifecycle_upper_bound,penalized_non_usable_upper_risk,0.8280008822515305,,,3767,source_macro;descriptive_full_arm_table;not_official_benchmark_submission;released_field_upper_bound;infeasible_or_unresolved_equals_one
C5,natural_evaluation,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,threshold_router,evidence_recall,0.8426619415074053,,,3767,source_macro;descriptive_full_arm_table;not_official_benchmark_submission
C5,natural_evaluation,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,threshold_router,feasible_rate,0.7350478483000238,,,3767,source_macro;descriptive_full_arm_table;not_official_benchmark_submission
C5,natural_evaluation,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,threshold_router,mean_candidates_scored,1470.2036564635873,,,3767,source_macro;descriptive_full_arm_table;not_official_benchmark_submission;diagnostic_only;not_production_latency
C5,natural_evaluation,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,threshold_router,penalized_non_usable_upper_risk,0.838768546153027,,,3767,source_macro;descriptive_full_arm_table;not_official_benchmark_submission;infeasible_or_unresolved_equals_one
C6,natural_evaluation,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,cluster_router,mean_route_width,1.0,,,3767,diagnostic_router;selected_clusters
C6,natural_evaluation,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,cluster_router_minus_namespace_dense,penalized_non_usable_upper_risk_delta,0.00016633602210371686,-5.268072220290817e-07,0.0005125056073667471,3767,diagnostic_router;no_incremental_utility_established
C6,natural_evaluation,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,cluster_router_minus_namespace_dense,recall_delta,-0.0006091832540661147,-0.0018749435257974158,0.0,3767,diagnostic_router;no_incremental_utility_established
C6,natural_evaluation,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,threshold_router,fallback_rate,0.9654434838372002,,,3767,diagnostic_router;namespace_local_fallback
C6,natural_evaluation,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,threshold_router_minus_namespace_dense,penalized_non_usable_upper_risk_delta,0.002100290926146948,0.0014764578849710322,0.0028535816018647026,3767,diagnostic_router;no_incremental_utility_established
C6,natural_evaluation,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,threshold_router_minus_namespace_dense,recall_delta,-0.02300143855322647,-0.028847707336523126,-0.017317948465240634,3767,diagnostic_router;no_incremental_utility_established
C7,natural_evaluation,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,released_intent_lifecycle_upper_bound_minus_namespace_dense,penalized_non_usable_upper_risk_delta,-0.008667372975349542,-0.010697065709710664,-0.006749619443899795,3767,frozen_historical_v1;released_field_upper_bound;not_deployable_blind_inference
C7,natural_evaluation,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,released_intent_lifecycle_upper_bound_minus_namespace_dense,prohibited_stale_exposure_delta,-0.0024748348518966855,-0.003400510359311151,-0.0016530456379979764,2764,released_field_upper_bound;not_deployable_blind_inference
C7,natural_evaluation,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,released_intent_lifecycle_upper_bound_minus_namespace_dense,prohibited_superseded_exposure_delta,-0.010397352446049897,-0.011767800847179462,-0.009085607368030274,2764,released_field_upper_bound;not_deployable_blind_inference
C7,natural_evaluation,87 groups; 182908 memories; 3767 queries,RHELM and MemOps public sources,released_intent_lifecycle_upper_bound_minus_namespace_dense,recall_delta,0.002902183273638267,-0.002335748541581875,0.00789680524506095,3767,released_field_upper_bound;not_deployable_blind_inference
